Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
28441,Agapē Agape,William Gaddis,"Gaddis, William","Sven Birkerts, Joseph Tabbi","=""0142437638""","=""9780142437636""",4,3.82,Penguin Classics,Paperback,144,2003,2002,,2018/01/29,,,read,,,,1,,,0,,,,,
19508,The Schopenhauer Cure,Irvin D. Yalom,"Yalom, Irvin D.",,"=""0060938102""","=""9780060938109""",4,4.24,Harper Perennial Modern Classics,Paperback,358,2020,2000,,2018/01/29,,,read,,,,1,,,0,,,,,
14376,Einstein's Dreams,Alan Lightman,"Lightman, Alan",,"=""140007780X""","=""9781400077809""",4,4.07,Vintage,Paperback,144,2004,1992,,2018/01/29,,,read,,,,1,,,0,,,,,
34444258,Selections From Strange Tales From the Liaozhai Studio: Volume 2,Pu Songling,"Songling, Pu",,"=""""","=""""",3,3.75,Foreign Languages Press,Hardcover,516,2007,,2018/01/29,2017/03/01,,,read,,,,2,,,0,,,,,
1206725,Time Remaining,James McCourt,"McCourt, James",,"=""0679412662""","=""9780679412663""",0,3.70,Knopf,Hardcover,273,1993,1993,,2018/01/27,to-read,to-read (#519),to-read,,,,0,,,0,,,,,
20702463,Yurei: The Japanese Ghost,Zack Davisson,"Davisson, Zack",,"=""0988769344""","=""9780988769342""",0,4.06,Chin Music Press Inc.,Hardcover,224,2015,2014,,2018/01/27,to-read,to-read (#518),to-read,,,,0,,,0,,,,,
1335018,Necronomicon: The Best Weird Tales,H.P. Lovecraft,"Lovecraft, H.P.","Stephen              Jones, Les Edwards","=""0575081570""","=""9780575081574""",0,4.22,Gollancz,Paperback,880,2008,2008,,2018/01/26,to-read,to-read (#517),to-read,,,,0,,,0,,,,,
23359392,Reflections: An Oral History of Twin Peaks,Brad Dukes,"Dukes, Brad",,"=""""","=""""",3,4.12,short/Tall Press,Kindle Edition,342,2014,2014,2018/01/26,2017/06/07,,,read,,,,1,,,0,,,,,
29776889,Writings,Jean-Marie Straub,"Straub, Jean-Marie","Danièle Huillet, Sally Shafto, Miguel Abreu","=""0983216991""","=""9780983216995""",4,4.09,Sequence Press,Paperback,610,2016,,2018/01/20,2017/05/21,,,read,,,,1,,,0,,,,,
12402469,Under Milk Wood: A Play for Voices,Dylan Thomas,"Thomas, Dylan","Douglas Cleverdon, Ceri Richards","=""""","=""""",5,4.15,Folio Society,Hardcover,93,1972,1954,2018/01/20,2018/01/20,,,read,,,,1,,,0,,,,,
660518,Better Never to Have Been: The Harm of Coming into Existence,David Benatar,"Benatar, David",,"=""0199296421""","=""9780199296422""",0,3.92,"Oxford University Press, USA",Hardcover,237,2006,2006,,2018/01/17,to-read,to-read (#516),to-read,,,,0,,,0,,,,,
796670,Conversations on the Plurality of Worlds,Bernard le Bovier de Fontenelle,"Fontenelle, Bernard le Bovier de","H.A. Hargreaves, Nina Rattner Gelbart","=""0520071719""","=""9780520071711""",0,3.73,University of California Press,Paperback,132,1990,1686,,2018/01/15,to-read,to-read (#515),to-read,,,,0,,,0,,,,,
15738076,Kimberly's Capital Punishment,Richard Milward,"Milward, Richard",,"=""0571288987""","=""9780571288984""",3,2.98,Faber & Faber,Paperback,464,2012,2012,,2018/01/15,,,read,"Read this book some time ago; it’s a pleasant enough engagement until you get to the three-part ending, but I think I’d rather stick with Julio Cortazar’s Hopscotch - if only because the magnitude and sheer virtuosity of language emphasizes the level of wordplay. <br/><br/>Here, it just comes off as thoroughly insulting, like you’ve been roped into an overly-long Aristocrats payoff. ",true,,1,,,0,,,,,
30423208,The Combinations,Louis Armand,"Armand, Louis",,"=""0957121369""","=""9780957121362""",0,4.24,Equus Press,Paperback,888,2016,2016,,2018/01/13,to-read,to-read (#514),to-read,,,,0,,,0,,,,,
33893505,Hoptime,J.F. Mamjjasond,"Mamjjasond, J.F.",Fafnir Finkelmeyer,"=""1944697306""","=""9781944697303""",0,4.40,Sagging Meniscus Press,Paperback,330,2017,,,2018/01/13,to-read,to-read (#513),to-read,,,,0,,,0,,,,,
6903121,Other Flowers: Uncollected Poems,James Schuyler,"Schuyler, James","James Meetze, Simon Pettet","=""0374532095""","=""9780374532093""",0,4.02,"Farrar, Straus and Giroux",Hardcover,220,2010,2010,,2018/01/13,to-read,to-read (#512),to-read,,,,0,,,0,,,,,
346399,What's for Dinner?,James Schuyler,"Schuyler, James",James McCourt,"=""1590171675""","=""9781590171677""",0,3.74,New York Review of Books,Paperback,211,2005,1978,,2018/01/13,to-read,to-read (#511),to-read,,,,0,,,0,,,,,
648052,Collected Poems,James Schuyler,"Schuyler, James",,"=""0374524033""","=""9780374524036""",0,4.48,"Farrar, Straus and Giroux",Paperback,430,1995,1993,,2018/01/13,to-read,to-read (#510),to-read,,,,0,,,0,,,,,
1205526,The Diary of James Schuyler,James Schuyler,"Schuyler, James",,"=""1574230255""","=""9781574230253""",0,4.56,Black Sparrow Press,Paperback,320,1996,1996,,2018/01/13,to-read,to-read (#509),to-read,,,,0,,,0,,,,,
23363650,Here,Richard McGuire,"McGuire, Richard",,"=""0375406506""","=""9780375406508""",0,4.20,Pantheon,Hardcover,298,2014,2014,,2018/01/10,to-read,to-read (#508),to-read,,,,0,,,0,,,,,
11786836,The Recognitions,William Gaddis,"Gaddis, William",William H. Gass,"=""1564786919""","=""9781564786913""",5,4.19,Dalkey Archive Press,Paperback,956,2012,1955,,2017/08/27,,,read,"(I’ve read this book sometime in the years 2014-2015, I’m pretty sure, but for whatever reason I didn’t have it down when I marked it. It means it’s time for a revisit, perhaps.)",,,1,,,0,,,,,
65579,Mawrdew Czgowchwz,James McCourt,"McCourt, James",Wayne Koestenbaum,"=""0940322978""","=""9780940322974""",0,3.94,NYRB Classics,Paperback,232,2002,1975,,2018/01/10,to-read,to-read (#507),to-read,,,,0,,,0,,,,,
1079908,"Now Voyagers: Some Divisions of the Saga of Mawrdew Czgowchwz, Oltrano, Authenticated by Persons Represented Therein, Book One: The Night Sea Journey",James McCourt,"McCourt, James",,"=""1933527080""","=""9781933527086""",0,4.29,Turtle Point Press,Paperback,520,2007,2007,,2018/01/10,to-read,to-read (#506),to-read,,,,0,,,0,,,,,
37572904,Infinite Resignation: On Pessimism,Eugene Thacker,"Thacker, Eugene",,"=""""","=""""",0,4.07,Repeater,Kindle Edition,254,2018,2018,,2018/01/10,to-read,to-read (#505),to-read,,,,0,,,0,,,,,
770286,Cancer Ward,Aleksandr Solzhenitsyn,"Solzhenitsyn, Aleksandr","Nicholas Bethell, David F. Burg","=""0374511993""","=""9780374511999""",0,4.22,"Farrar, Straus and Giroux",Paperback,536,1991,1968,,2018/01/06,to-read,to-read (#504),to-read,,,,0,,,0,,,,,
98969,The First Circle,Aleksandr Solzhenitsyn,"Solzhenitsyn, Aleksandr",Thomas P. Whitney,"=""0810115905""","=""9780810115903""",0,4.22,Northwestern University Press,Paperback,580,1997,1968,,2018/01/06,to-read,to-read (#503),to-read,,,,0,,,0,,,,,
70561,The Gulag Archipelago 1918–1956 (Abridged),Aleksandr Solzhenitsyn,"Solzhenitsyn, Aleksandr",Edward E. Ericson Jr.,"=""0060007761""","=""9780060007768""",0,4.28,HarperCollins,Paperback,472,2002,1973,,2018/01/06,to-read,to-read (#502),to-read,,,,0,,,0,,,,,
