Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
50365,"A Suitable Boy (A Bridge of Leaves, #1)",Vikram Seth,"Seth, Vikram",,"=""0060786523""","=""9780060786526""",0,4.12,Harper Perennial Modern Classics,Paperback,1474,2005,1993,,2020/11/26,"shelf, fiction, south-asian, currently-reading","shelf (#15), fiction (#14), south-asian (#8), currently-reading (#15)",currently-reading,,,,1,,,1,,,unspecified,,
38095079,"Make Time: How to beat distraction, build energy and focus on what matters every day",Jake Knapp,"Knapp, Jake",John Zeratsky,"=""0593079582""","=""9780593079584""",4,4.10,Bantam Press,Paperback,304,2018,2018,,2020/11/15,"shelf, reference, nonfiction, currently-reading","shelf (#11), reference (#4), nonfiction (#53), currently-reading (#12)",currently-reading,,,,1,,,1,,,unspecified,,
29875487,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"Manson, Mark",,"=""0062641549""","=""9780062641540""",2,3.93,Harper,Paperback,206,2016,2016,,2020/11/19,"shelf, nonfiction, currently-reading","shelf (#17), nonfiction (#58), currently-reading (#13)",currently-reading,,,,1,,,1,,,unspecified,,
2495562,"The Wise Man's Fear  (The Kingkiller Chronicle, #2)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""0575081422""","=""9780575081420""",4,4.55,Gollancz,Paperback,994,2012,2011,,2020/08/08,"shelf, fantasy, fiction, currently-reading","shelf (#19), fantasy (#20), fiction (#42), currently-reading (#11)",currently-reading,,,,1,,,1,,,unspecified,,
7967279,Outliers: The Story of Success,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316017930""","=""9780316017930""",0,4.17,Back Bay Books,Paperback,320,2011,2008,,2020/12/05,"shelf, nonfiction, to-read","shelf (#22), nonfiction (#27), to-read (#363)",to-read,,,,0,,,1,,,unspecified,,
4214,Life of Pi,Yann Martel,"Martel, Yann",,"=""0770430074""","=""9780770430078""",0,3.92,Seal Books,Paperback,460,2006,2001,,2020/11/23,"shelf, fiction, south-asian, magical-realism, to-read","shelf (#18), fiction (#19), south-asian (#7), magical-realism (#4), to-read (#362)",to-read,,,,0,,,1,,,unspecified,,
3015094,Six Suspects,Vikas Swarup,"Swarup, Vikas",,"=""0385608152""","=""9780385608152""",0,3.54,Doubleday,Hardcover,480,2008,2008,,2020/12/07,"mystery, south-asian, fiction, to-read","mystery (#6), south-asian (#15), fiction (#33), to-read (#361)",to-read,,,,0,,,0,,,,,
22822858,A Little Life,Hanya Yanagihara,"Yanagihara, Hanya",,"=""0385539258""","=""9780385539258""",0,4.31,Doubleday,Hardcover,720,2015,2015,,2020/11/20,"contemporary, currently-reading, recent, fiction","contemporary (#8), currently-reading (#3), recent (#9), fiction (#138)",currently-reading,,,,1,,,0,,,,,
36840397,A Place for Us,Fatima Farheen Mirza,"Mirza, Fatima Farheen",,"=""1524763551""","=""9781524763558""",5,4.15,SJP for Hogarth,Hardcover,385,2018,2018,2021/01/26,2020/12/09,"contemporary, south-asian, fiction, recent","contemporary (#28), south-asian (#25), fiction (#161), recent (#15)",read,,,My heart aches for every character in this book as it does for every member of my family. ,1,,,0,,,,,
39721925,The Personality Brokers: The Strange History of Myers-Briggs and the Birth of Personality Testing,Merve Emre,"Emre, Merve",,"=""0385541902""","=""9780385541909""",0,3.26,Doubleday,Hardcover,307,2018,2018,,2020/12/13,"nonfiction, currently-reading, memoir, recent, personality","nonfiction (#173), currently-reading (#5), memoir (#41), recent (#11), personality (#1)",currently-reading,,,,1,,,0,,,,,
34507927,"How to Take Smart Notes: One Simple Technique to Boost Writing, Learning and Thinking – for Students, Academics and Nonfiction Book Writers",Sönke Ahrens,"Ahrens, Sönke",,"=""""","=""""",0,4.29,,Kindle Edition,178,2017,2017,,2020/12/05,"nonfiction, currently-reading, reference, recent","nonfiction (#56), currently-reading (#8), reference (#8), recent (#14)",currently-reading,,,"No longer a university student. I was recalling all the times my friends and I fell into a flow of discussion, all the thoughts that pass by unwritten, and just when you want to journal, how those thoughts and tangents never come back to you as they existed at first. While writing is an activity that emerges regularly in our lives, even converting abstract and overflowing thoughts into structured speech is a thing in itself... and I feel this ""practice"" of writing only makes that more natural over time. ",1,,,0,,,,,
18007564,The Martian,Andy Weir,"Weir, Andy",,"=""0804139024""","=""9780804139021""",4,4.40,Crown,Hardcover,384,2014,2012,,2020/12/04,"science-fiction, currently-reading, fiction, recent","science-fiction (#1), currently-reading (#7), fiction (#186), recent (#13)",currently-reading,,,,1,,,0,,,,,
6266872,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""0756405890""","=""9780756405892""",5,4.52,DAW,Paperback,662,2009,2007,2012/08/01,2020/08/08,"shelf, fantasy, recent, fiction","shelf (#7), fantasy (#10), recent (#1), fiction (#41)",read,,,,1,,,1,,,unspecified,,
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0374275637""","=""9780374275631""",0,4.16,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,,2020/12/05,"to-read, nonfiction, shelf","to-read (#175), nonfiction (#86), shelf (#23)",to-read,,,,0,,,0,,,,,
50898145,Film for Her,Orion Carloto,"Carloto, Orion",,"=""1524853771""","=""9781524853778""",0,3.91,Andrews McMeel Publishing,Hardcover,192,2020,,,2020/12/10,"to-read, memoir, art, poetry, nonfiction","to-read (#248), memoir (#38), art (#9), poetry (#22), nonfiction (#256)",to-read,,,,0,,,0,,,,,
17397466,An Introduction to Statistical Learning: With Applications in R,Gareth James,"James, Gareth","Trevor Hastie, Robert Tibshirani, Daniela Witten","=""1461471370""","=""9781461471370""",0,4.61,Springer,Hardcover,426,2017,2013,,2020/12/20,"academic, to-read, nonfiction","academic (#15), to-read (#360), nonfiction (#255)",to-read,,,,1,,,0,,,,,
